"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22","WV03"
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-21",,,,"0.02","0.0","0.0",,"57","48",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-22",,,,"0.00","0.0","0.0",,"59","43",,,,,,"    1","    1",,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-23",,,,"0.41","0.0","0.0",,"60","41",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-24",,,,"0.13","0.0","0.0",,"60","45",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-25",,,,"0.00","0.0","0.0",,"65","42",,,,,,"    1","    1",,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-26",,,,"0.00","0.0","0.0",,"69","49",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-27",,,,"0.03","0.0","0.0",,"67","46",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-28",,,,"0.00","0.0","0.0",,"57","43",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-29",,,,"0.00","0.0","0.0",,"60","33",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-30",,,,"0.27","0.0","0.0",,"56","43",,,,,,,,"    1",,"    1",,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-01",,,,"0.02","0.0","0.0",,"53","40",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-02",,,,"0.00","0.0","0.0",,"54","41",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-03",,,,"0.14","0.0","0.0",,"50","44",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-04",,,,"0.13","0.0","0.0",,"52","38",,,,,,,,"    1",,"    1",,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-05",,,,"0.00","0.0","0.0",,"51","37",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-06",,,,"0.00","0.0","0.0",,"58","31",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-07",,,,"0.00","0.0","0.0",,"61","33",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-08",,,,"0.00","0.0","0.0",,"61","38",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-09",,,,"0.00","0.0","0.0",,"65","40",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-10",,,,"0.00","0.0","0.0",,"61","48",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-11",,,,"0.00","0.0","0.0",,"65","44",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-12",,,,"0.00","0.0","0.0",,"60","48",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-13",,,,"0.00","0.0","0.0",,"60","39",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-14",,,,"0.00","0.0","0.0",,"60","45",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-05-15",,,,"0.41","0.0","0.0",,"56","43",,,,,,"    1",,,,,,,"    1",,,,,"    1",,,,,
